"No value = similar as previous day for: Driving, Store and Stand/mov-ing around",,,,,,,,,,,
year,month,day,time reading paper,time on ubuntu,Driving,Store,Riding Car Eyes,Comment,scooter driving,scooter driving 2,scooter riding
,,10,,,,,,,,,
,,11,,,25,,,,,,
,,12,,,13,,,,,,
,,13,,,15,,,,,,
,,14,,,,,,,,,
,,15,50,,6,,,,,,
,,16,,,,,,,,,
,,17,45,,,,,,,,
,,18,,,25,10,,,,,
,,19,,,12,,,,,,
,,20,,,,,,,,,
,,21,,,5,,,,,,
,,22,,,27,,,,,,
,,23,,,,,,,,,
,,24,,,13,,,,,,
,,25,,,25,,,,,,
,,26,,,12,,,,,,
,,27,,,80,15,,,,,
,,28,,,,,,,,,
,,29,,,,,,,,,
,,30,,,12,,,,,,
,,31,,,,,,,,,
,8,1,,,15,10,,,,,
,,2,,,50,,,,,,
,,3,40,,,,,,,,
,,4,,,12,20,,,,,
,,5,,,,,,,,,
,,6,,,,,,,,,
,,7,90,,,,30,,,,
,,8,120,,,,30,,,,
,,9,240,,,,45,,,,
,,10,,60,,,120,,,,
,,11,,10,,,140,,,,
,,12,,30,,,60,,,,
,,13,,20,,,80,,,,
,,14,20,,,,150,,,,
,,15,,,,,90,,,,
,,16,,,,,50,,,,
,,17,,,,,150,,,,
,,18,,,,,120,,,,
,,19,,,20,,100,,,,
,,20,,,,,10,,,,
,,21,,,,,40,,,,
,,22,,,,,20,,,,
,,23,,,,,140,,,,
,,24,,90,,,,,,,
,,25,,20,,,30,,,,
,,26,,,120,40,,,,,
,,27,,,,,,,,,
,,28,,,,,15,,,,
,,29,,,240,25,,,,,
,,30,,,550,60,,,,,
,,31,,,160,35,,,,,
,9,1,,,35,20,,,,,
,,2,,,30,10,,,,,
,,3,,,340,20,,,,,
,,4,,,340,,,,,,
,,5,,,120,25,,,,,
,,6,,,80,10,,,,,
,,7,,,45,20,,,,,
,,8,,,40,20,,,,,
,,9,,,60,20,,,,,
,,10,,,30,,,,,,
,,11,,,40,,,,,,
,,12,,,50,,,,,,
,,13,,,70,,,,,,
,,14,,,50,,,,,,
,,15,,,60,10,,,,,
,,16,,,30,,,,,,
,,17,,,80,,,,,,
,,18,,,45,15,,,,,
,,19,,,42,,,,,,
,,20,,,25,,,,,,
,,21,,,35,,,,,,
,,22,,,30,,,,,,
,,23,,,35,,,,,,
,,24,,,24,,,,,,
,,25,,,60,,,,,,
,,26,,,35,,,,,,
,,27,,,330,,,,,,
,,28,,,80,,,,,,
,,29,,,330,,,,,,
,,30,,,100,,,,,,
,10,1,,,120,,,,,,
,,2,,,90,,,,,,
,,3,,,150,,,,,,
,,4,,,100,,,,,,
,,5,,,110,,,,,,
,,6,,,160,,,,,,
,,7,,,70,,,,,,
,,8,,,50,,,,,,
,,9,,,30,,,,,,
,,10,,,50,,,,,,
,,11,,,25,,,,,,
,,12,,,25,,,,,,
,,13,,,70,,,,,,
,,14,,,45,,,,,,
,,15,,,20,,,,,,
,,16,,,240,,,,,,
,,17,,,90,,,,,,
,,18,,,25,,,,,,
,,19,,,0,,,,,,
,,20,,,15,,,,,,
,,21,,,20,,20,,,,
,,22,,,20,,,,,,
,,23,,,20,,,,,,
,,24,,,210,,,,,,
,,25,,,22,,,,,,
,,26,,,25,,,,,,
,,27,,,25,,,,,,
,,28,,,15,,,,,,
,,29,,,110,,,,,,
,,30,,,40,,,,,,
,,31,,,25,,,,,,
,11,1,,,25,,,,,,
,,2,,,25,,,,,,
,,3,,,40,,,,,,
,,4,,,40,,,,,,
,,5,,,10,,,,,,
,,6,,,25,,25,,,,
,,7,,,30,,,,,,
,,8,,,15,,40,,,,
,,9,,,30,,,,,,
,,10,,,30,,,,,,
,,11,,,25,,,,,,
,,12,,,35,,,,,,
,,13,,,30,,,,,,
,,14,,,25,,,,,,
,,15,,,20,,,,,,
,,16,,,10,,,,,,
,,17,,,20,,,,,,
,,18,,,30,,,,,,
,,19,,,20,,,,,,
,,20,,,30,,,,,,
,,21,,,30,,,,,,
,,22,,,30,,,,,,
,,23,,,30,,,,,,
,,24,,,40,,,,,,
,,25,,,20,,,,,,
,,26,,,40,,,,,,
,,27,,,40,,,,,,
,,28,,,25,,,,,,
,,29,,,50,,,,,,
,,30,,20,14,,,,,,
,12,1,40,,40,,,,,,
,,2,,,20,,,,,,
,,3,,,20,,,,,,
,,4,,,25,,,,,,
,,5,,,40,,,,,,
,,6,,,15,,,,,,
,,7,,,30,,,,,,
,,8,,,20,,,,,,
,,9,,,40,,,,,,
,,10,,,25,,,,,,
,,11,,,40,,,,,,
,,12,,,30,,,,,,
,,13,,,30,,,,,,
,,14,,,40,,,,,,
,,15,,,20,,,,,,
,,16,,,20,,,,,,
,,17,,100,20,,,,,,
,,18,,,35,,,,,,
,,19,,,20,,,,,,
,,20,,20,35,,,,,,
,,21,,,20,,,,,,
,,22,,,100,,,,,,
,,23,,,20,,,,,,
,,24,,,20,,,,,,
,,25,,,150,,,,,,
,,26,,,25,,,,,,
,,27,,,20,,,,,,
,,28,,,140,,,,,,
,,29,,,50,,,,,,
,,30,,,90,,,,,,
,,31,,,20,,,,,,
2017,1,1,,,120,,,,,,
,,2,,,30,,,,,,
,,3,,,30,,,,,,
,,4,,,330,,,,,,
,,5,,,40,,,,,,
,,6,,,35,,,,,,
,,7,,,26,,,,,,
,,8,,,25,,,,,,
,,9,,,35,,,,,,
,,10,,,35,,,,,,
,,11,,,35,,,,,,
,,12,,,25,,,,,,
,,13,35,,30,,,,,,
,,14,15,,23,,,,,,
,,15,,,34,,,,,,
,,16,,,240,,,,,,
,,17,,,180,,,,,,
,,18,,,150,,,,,,
,,19,,,80,,,,,,
,,20,,,25,,,,,,
,,21,,,50,,,,,,
,,22,,,70,,,,,,
,,23,,,45,,,,,,
,,24,,,50,,,,,,
,,25,,,30,,,,,,
,,26,,,25,,,,,,
,,27,,,26,,,,,,
,,28,,,68,,,,,,
,,29,,,20,,,,,,
,,30,,,30,,,,,,
,,31,,,25,,,,,,
,2,1,,,45,,,,,,
,,2,,,25,,,,,,
,,3,,,25,,,,,,
,,4,,,60,,,,,,
,,5,,,60,,,,,,
,,6,,,20,,,,,,
,,7,,,20,,,,,,
,,8,,,25,,,,,,
,,9,,,20,,,,,,
,,10,,,20,,,,,,
,,11,,,80,,,,,,
,,12,,,16,,,,,,
,,13,,,45,,,,,,
,,14,,,20,,,,,,
,,15,,,20,,,,,,
,,16,,,45,,,,,,
,,17,,,20,,,,,,
,,18,,,30,,,,,,
,,19,,,30,,,,,,
,,20,,,18,,,,,,
,,21,,,45,,,,,,
,,22,,,24,,,,,,
,,23,,,20,,,,,,
,,24,,,20,,,,,,
,,25,,,180,,,,,,
,,26,,,20,,,,,,
,,27,,,45,,,,,,
,,28,,,20,,,,,,
,3,1,,,50,,,,,,
,,2,,,20,,,,,,
,,3,,,20,,,,,,
,,4,,,55,,,,,,
,,5,,,35,,,,,,
,,6,,,40,,,,,,
,,7,,,20,,,,,,
,,8,,,45,,,,,,
,,9,,,25,,,,,,
,,10,,,45,,,,,,
,,11,,,80,,,,,,
,,12,,,80,,,,,,
,,13,,,45,,,,,,
,,14,,,23,,,,,,
,,15,,,30,,,,,,
,,16,,,20,,,,,,
,,17,,,60,,,,,,
,,18,,,90,,,,,,
,,19,,,90,,,,,,
,,20,,,45,,,,,,
,,21,,,20,,,,,,
,,22,,,25,,,,,,
,,23,,,20,,,,,,
,,24,,,20,,,,,,
,,25,,,100,,,,,,
,,26,,,85,,,,,,
,,27,,,50,,,,,,
,,28,,,40,,,,,,
,,29,,,20,,,,,,
,,30,,,29,,,,,,
,,31,,,25,,,,,,
,4,1,,,100,,,,,,
,,2,,,110,,,,,,
,,3,,,25,,,,,,
,,4,,,20,,,,,,
,,5,,,20,,,,,,
,,6,,,30,,,,,,
,,7,,,45,,,,,,
,,8,,,150,,,,,,
,,9,,,150,,,,,,
,,10,,,50,,,,,,
,,11,,,20,,,,,,
,,12,,,23,,,,,,
,,13,,,30,,,,,,
,,14,,,50,,,,,,
,,15,,,110,,,,,,
,,16,,,70,,,,,,
,,17,,,45,,,,,,
,,18,,,20,,,,,,
,,19,,,20,,,,,,
,,20,,,20,,,,,,
,,21,,,45,,,,,,
,,22,,,95,,,,,,
,,23,,,95,,,,,,
,,24,,,45,,,,,,
,,25,,,23,,,,,,
,,26,,,20,,,,,,
,,27,,,20,,,,,,
,,28,,,20,,,,,,
,,29,,,40,,,,,,
,,30,,,20,,,,,,
,5,1,,,24,,,,,,
,,2,,,24,,,,,,
,,3,,,24,,,,,,
,,4,,,25,,,,,,
,,5,,,25,,,,,,
,,6,,,37,,,,,,
,,7,,,20,,,,,,
,,8,,,33,,,,,,
,,9,,,20,,,,,,
,,10,,,20,,,,,,
,,11,,,20,,,,,,
,,12,,,20,,,,,,
,,13,,,90,,,,,,
,,14,,,90,,,,,,
,,15,,,37,,,,,,
,,16,,,20,,,,,,
,,17,,,24,,,,,,
,,18,,,22,,,,,,
,,19,,,35,,,,,,
,,20,,,120,,,,,,
,,21,,,110,,,,,,
,,22,,,30,,,,,,
,,23,,,20,,,,,,
,,24,,,24,,,,,,
,,25,,,20,,,,,,
,,26,,,20,,,,,,
,,27,,,20,,,,,,
,,28,,,30,,,,,,
,,29,,,18,,,,,,
,,30,,,20,,,,,,
,,31,,,20,,,,,,
,6,1,,,10,,,,,,
,,2,,,0,,28,,,,
,,3,,,0,,,,,,
,,4,,,0,,25,,,,
,,5,,,15,,,,,,
,,6,,,0,,,,,,
,,7,,,15,,,,,,
,,8,,,0,,,,,,
,,9,,,15,,,,,,
,,10,,,0,,,,,,
,,11,,,0,,,,,,
,,12,,,12,,,,,,
,,13,,,12,,,,,,
,,14,,,10,,,,,,
,,15,,,0,,,,,,
,,16,,,0,,110,,,,
,,17,,,0,,15,,,,
,,18,,,0,,110,,,,
,,19,,,15,,,,,,
,,20,,,0,,20,,,,
,,21,,,0,,,,,,
,,22,,,20,,,,,,
,,23,,,20,,,,,,
,,24,,,27,,,,,,
,,25,,,15,,,,,,
,,26,,,25,,,,,,
,,27,,,20,,,,,,
,,28,,,25,,40,,,,
,,29,,,25,,40,,,,
,,30,,,20,,,,,,
,7,1,,,28,,,,,,
,,2,,,28,,,,,,
,,3,,,20,,,,,,
,,4,,,25,,,,,,
,,5,,,20,,,,,,
,,6,,,20,,,,,,
,,7,,,20,,,,,,
,,8,,,120,,,,,,
,,9,,,20,,,,,,
,,10,,,20,,,,,,
,,11,15,,20,,,,,,
,,12,,,35,,,,,,
,,13,,,20,,,,,,
,,14,,,20,,,,,,
,,15,,,40,,,,,,
,,16,,,20,,,,,,
,,17,,,20,,,,,,
,,18,,,20,,,,,,
,,19,,,20,,,,,,
,,20,,,20,,,,,,
,,21,,,27,,,,,,
,,22,,,30,,,,,,
,,23,,,30,,,,,,
,,24,,,20,,,,,,
,,25,,,20,,,,,,
,,26,,,20,,,,,,
,,27,,,20,,,,,,
,,28,,,20,,,,,,
,,29,,,35,,,,,,
,,30,,,20,,,,,,
,,31,,,30,,,,,,
,8,1,,,20,,,,,,
,,2,,,20,,,,,,
,,3,,,20,,,,,,
,,4,,,20,,,,,,
,,5,,,45,,,,,,
,,6,,,15,,,,,,
,,7,,,25,,,,,,
,,8,,,25,,5,,,,
,,9,,,27,,,,,,
,,10,,,27,,,,,,
,,11,,,13,,240,,,,
,,12,,,0,,120,,,,
,,13,,,0,,240,,,,
,,14,,,20,,14,,,,
,,15,,,0,,40,,,,
,,16,,,0,,40,,,,
,,17,,,20,,,,,,
,,18,,,0,,180,,,,
,,19,,,,,30,,,,
,,20,,,,,30,,,,
,,21,,,10,,210,,,,
,,22,,,20,,,,,,
,,23,,,22,,,,,,
,,24,,,20,,,,,,
,,25,,,10,,,,,,
,,26,,,20,,,,,,
,,27,,,10,,,,,,
,,28,,,10,,,,,,
,,29,,,15,,,,,,
,,30,,,12,,,,,,
,,31,,,100,,,,,,
,9,1,,,25,,,,,,
,,2,,,34,,,,,,
,,3,,,25,,,,,,
,,4,,,25,,,,,,
,,5,,,23,,,,,,
,,6,,,25,,,,,,
,,7,,,25,,,,,,
,,8,,,120,,,,,,
,,9,,,25,,,,,,
,,10,,,24,,,,,,
,,11,,,25,,,,,,
,,12,,,25,,,,,,
,,13,,,20,,,,,,
,,14,,,28,,,,,,
,,15,,,30,,,,,,
,,16,,,120,,,,,,
,,17,,,85,,,,,,
,,18,,,27,,,,,,
,,19,,,25,,,,,,
,,20,,,25,,,,,,
,,21,,,25,,,,,,
,,22,,,130,,,,,,
,,23,,,13,,,,,,
,,24,,,85,,,,,,
,,25,,,20,,,,,,
,,26,,,20,,,,,,
,,27,,,45,,,,,,
,,28,,,20,,,,,,
,,29,,,20,,,,,,
,,30,,,26,,,,,,
,10,1,,,30,,,,,,
,,2,,,40,,,,,,
,,3,,,25,,,,,,
,,4,,,25,,,,,,
,,5,,,25,,,,,,
,,6,,,25,,,,,,
,,7,,,25,,,,,,
,,8,,,25,,,,,,
,,9,,,25,,,,,,
,,10,,,25,,,,,,
,,11,,,25,,,,,,
,,12,,,25,,,,,,
,,13,,,25,,,,,,
,,14,,,25,,,,,,
,,15,,,25,,,,,,
,,16,,,40,,,,,,
,,17,,,25,,,,,,
,,18,,,25,,,,,,
,,19,,,30,,,,,,
,,20,,,25,,,,,,
,,21,,,30,,,,,,
,,22,,,30,,,,,,
,,23,,,20,,,,,,
,,24,,,30,,,,,,
,,25,,,25,,,,,,
,,26,,,25,,,,,,
,,27,,,25,,,,,,
,,28,,,25,,,,,,
,,29,,,25,,,,,,
,,30,,,25,,,,,,
,,31,,,25,,,,,,
,11,1,,,25,,,,,,
,,2,,,25,,,,,,
,,3,,,25,,,,,,
,,4,,,25,,,,,,
,,5,,,100,,,,,,
,,6,,,0,,,,,,
,,7,,,7,,,,,,
,,8,,,15,,,,,,
,,9,,,10,,,,,,
,,10,,,18,,,,,,
,,11,,,0,,16,,,,
,,12,,,10,,,,,,
,,13,,,8,,,,,,
,,14,,,,,30,,,,
,,15,,,,,,,,,
,,16,,,27,,,,,,
,,17,,,12,,,,,,
,,18,,,220,,,,,,
,,19,,,120,,,,,,
,,20,,,150,,,,,,
,,21,,,20,,,,,,
,,22,,,20,,,,,,
,,23,,,100,,,,,,
,,24,,,150,,,,,,
,,25,,,120,,,,,,
,,26,,,100,,,,,,
,,27,,,20,,,,,,
,,28,,,90,,,,,,
,,29,,,15,,,,,,
,,30,,,15,,,,,,
,12,1,,,15,,,,,,
,,2,,,40,,,,,,
,,3,,,15,,,,,,
,,4,,,40,,,,,,
,,5,,,15,,,,,,
,,6,,,15,,,,,,
,,7,,,15,,,,,,
,,8,,,16,,,,,,
,,9,,,210,,,,,,
,,10,,,60,,,,,,
,,11,,,15,,,,,,
,,12,,,15,,,,,,
,,13,,,50,,,,,,
,,14,,,50,,,,,,
,,15,,,33,,,,,,
,,16,,,15,,,,,,
,,17,,,40,,,,,,
,,18,,,40,,,,,,
,,19,,,40,,,,,,
,,20,,,18,,,,,,
,,21,,,24,,,,,,
,,22,,,24,,,,,,
,,23,,,15,,,,,,
,,24,,,40,,,,,,
,,25,,,0,,20,,,,
,,26,,,45,,,,,,
,,27,,,22,,,,,,
,,28,,,15,,,,,,
,,29,,,45,,,,,,
,,30,,,30,,,,,,
,,31,,,45,,,,,,
2018,1,1,,,25,,,,,,
,,2,,,25,,,,,,
,,3,,,35,,,,,,
,,4,,,35,,,,,,
,,5,,,20,,,,,,
,,6,,,23,,,,,,
,,7,,,75,,,,,,
,,8,,,17,,,,,,
,,9,,,17,,,,,,
,,10,,,25,,,,,,
,,11,,,55,,,,,,
,,12,,,23,,,,,,
,,13,,,20,,,,,,
,,14,,,60,,,,,,
,,15,,,60,,,,,,
,,16,,,15,,,,,,
,,17,,,60,,,,,,
,,18,,,20,,,,,,
,,19,,,60,,,,,,
,,20,,,17,,,,,,
,,21,,,35,,,,,,
,,22,,,60,,,,,,
,,23,,,17,,,,,,
,,24,,,60,,,,,,
,,25,,,20,,,,,,
,,26,,,20,,,,,,
,,27,,,120,,30,,,,
,,28,,,20,,50,,,,
,,29,,,40,,,,,,
,,30,,,0,,23,,,,
,,31,,,0,,40,,,,
,2,1,,,60,,25,,,,
,,2,,,80,,,,,,
,,3,,,80,,,,,,
,,4,,,20,,10,,,,
,,5,,,10,,10,,,,
,,6,,,,,15,,,,
,,7,,,45,,15,,,,
,,8,,,50,,,,,,
,,9,,,20,,,,,,
,,10,,,24,,,,,,
,,11,,,24,,,,,,
,,12,,,25,,,,,,
,,13,,,25,,,,,,
,,14,,,20,,,,,,
,,15,,,21,,,,,,
,,16,,,23,,,,,,
,,17,,,23,,,,,,
,,18,,,23,,,,,,
,,19,,,23,,,,,,
,,20,,,80,,,,,,
,,21,,,40,,,,,,
,,22,,,20,,,,,,
,,23,,,90,,,,,,
,,24,,,90,,,,,,
,,25,,,90,,,,,,
,,26,,,20,,,,,,
,,27,,,40,,,,,,
,,28,,,50,,,,,,
,3,1,,,20,,,,,,
,,2,,,20,,,,,,
,,3,,,20,,,,,,
,,4,,,20,,,,,,
,,5,,,20,,,,,,
,,6,,,20,,,,,,
,,7,,,20,,,,,,
,,8,,,50,,,,,,
,,9,,,50,,,,,,
,,10,,,20,,,,,,
,,11,,,45,,,,,,
,,12,,,20,,,,,,
,,13,,,30,,,,,,
,,14,,,45,,,,,,
,,15,,,28,,,,,,
,,16,,,28,,,,,,
,,17,,,28,,,,,,
,,18,,,20,,,,,,
,,19,,,20,,,,,,
,,20,,,24,,,,,,
,,21,,,20,,,,,,
,,22,,,20,,,,,,
,,23,,,120,,,,,,
,,24,,,40,,,,,,
,,25,,,60,,,,,,
,,26,,,20,,,,,,
,,27,,,25,,,,,,
,,28,,,34,,,,,,
,,29,,,20,,,,,,
,,30,,,45,,,,,,
,,31,,,170,,,,,,
,4,1,,,25,,,,,,
,,2,,,30,,,,,,
,,3,,,240,,,,,,
,,4,,,120,,,,,,
,,5,,,25,,,,,,
,,6,,,60,,,,,,
,,7,,,25,,,,,,
,,8,,,25,,,,,,
,,9,,,25,,,,,,
,,10,,,25,,,,,,
,,11,,,25,,,,,,
,,12,,,20,,,,,,
,,13,,,25,,,,,,
,,14,,,70,,,,,,
,,15,,,28,,,,,,
,,16,,,45,,,,,,
,,17,,,45,,,,,,
,,18,,,25,,,,,,
,,19,,,25,,,,,,
,,20,,,45,,,,,,
,,21,,,25,,,,,,
,,22,,,25,,,,,,
,,23,,,45,,,,,,
,,24,,,45,,,,,,
,,25,,,25,,,,,,
,,26,,,45,,,,,,
,,27,,,360,,,,,,
,,28,,,120,,,,,,
,,29,,,25,,,,,,
,,30,,,40,,,,,,
,5,1,,,25,,,,,,
,,2,,,25,,,,,,
,,3,,,35,,,,,,
,,4,,,35,,,,,,
,,5,,,85,,,,,,
,,6,,,0,,50,,,,
,,7,,,11,,220,,,,
,,8,,,0,,45,,,,
,,9,,,0,,70,,,,
,,10,,,0,,40,,,,
,,11,,,0,,240,,,,
,,12,,,15,,,,,,
,,13,,,,,,,,,
,,14,,,24,,,,,,
,,15,,,19,,,,,,
,,16,,,12,,,,,,
,,17,,,12,,,,,,
,,18,,,0,,,,,,
,,19,,,0,,,,,,
,,20,,,12,,,,,,
,,21,,,22,,,,,,
,,22,,,22,,,,,,
,,23,,,15,,,,,,
,,24,,,150,,150,,,,
,,25,,,,,,,,,
,,26,,,,,25,,,,
,,27,,,,,50,,,,
,,28,,,100,,,,,,
,,29,,,25,,,,,,
,,30,,,25,,,,,,
,,31,,,25,,,,,,
,6,1,,,25,,,,,,
,,2,,,25,,,,,,
,,3,,,25,,,,,,
,,4,,,25,,,,,,
,,5,,,25,,,,,,
,,6,,,25,,,,,,
,,7,,,25,,,,,,
,,8,,,250,,,,,,
,,9,,,15,,,,,,
,,10,,,55,,,,,,
,,11,,,210,,,,,,
,,12,,,35,,,,,,
,,13,,,34,,,,,,
,,14,,,40,,,,,,
,,15,,,20,,,,,,
,,16,,,40,,,,,,
,,17,,,30,,,,,,
,,18,,,40,,,,,,
,,19,,,25,,,,,,
,,20,,,25,,,,,,
,,21,,,35,,,,,,
,,22,,,25,,,,,,
,,23,,,40,,,,,,
,,24,,,20,,,,,,
,,25,,,25,,,,,,
,,26,,,25,,,,,,
,,27,,,25,,,,,,
,,28,,,25,,,,,,
,,29,,,35,,,,,,
,,30,,,40,,,,,,
,7,1,,,140,,,,,,
,,2,,,30,,,,,,
,,3,,,25,,,,,,
,,4,,,25,,,,,,
,,5,,,25,,,,,,
,,6,,,25,,,,,,
,,7,,,25,,,,,,
,,8,,,25,,,,,,
,,9,,,25,,,,,,
,,10,,,25,,,,,,
,,11,,,25,,,,,,
,,12,,,40,,,,,,
,,13,,,25,,,,,,
,,14,,,40,,,,,,
,,15,,,35,,,,,,
,,16,,,40,,,,,,
,,17,,,15,,,,,,
,,18,,,90,,,,,,
,,19,,,280,,,,,,
,,20,,,23,,,,,,
,,21,,,120,,,,,,
,,22,,,100,,,,,,
,,23,,,24,,,,,,
,,24,,,20,,,,,,
,,25,,,150,,,,,,
,,26,,,30,,,,,,
,,27,,,40,,,,,,
,,28,,,27,,,,,,
