Heure de début,Heure de fin,Calories (kcal),Distance (m),Fréquence cardiaque moyenne (bpm),Fréquence cardiaque maximale (bpm),Fréquence cardiaque minimale (bpm),Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Natation"" (ms)"
00:00:00.000-04:00,00:15:00.000-04:00,18.49999885166341,,,,,38.91120147705078,-120.0037841796875,38.91130828857422,-120.00309753417969,,,,,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,18.49999885166341,,,,,38.911251068115234,-120.00395965576172,38.911376953125,-120.00373840332031,,,,,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,18.49999885166341,,,,,38.91118240356445,-120.0040054321289,38.911380767822266,-120.0036392211914,1.7979074306302967,2.230022430419922,1.4673105478286743,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,18.49999885166341,,,,,38.91111755371094,-120.00402069091797,38.91122817993164,-120.00370788574219,1.440303120977775,2.2994346618652344,0.5800861716270447,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,18.49999885166341,,,,,38.91120529174805,-120.00408172607422,38.91144943237305,-120.00361633300781,,,,1,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,59.451240522577066,147.0879508754149,,,,38.91102600097656,-120.00411224365234,38.91143798828125,-120.00354766845703,1.5325462222099304,1.6035274267196655,1.4615650177001953,17,,,,676259,223741,,
01:30:00.000-04:00,01:45:00.000-04:00,73.00000040912653,158.53252530292974,,,,38.911216735839844,-120.0040054321289,38.911502838134766,-120.00365447998047,0.4457262677052906,2.370657205581665,0.018602244555950165,,,,,900000,,,
01:45:00.000-04:00,02:00:00.000-04:00,34.615890536845754,8.48767823773966,,,,38.91130065917969,-120.00395965576172,38.911373138427734,-120.00393676757812,0.16755935549736023,0.16755935549736023,0.16755935549736023,15,,,,266134,633866,,
02:00:00.000-04:00,02:15:00.000-04:00,18.49999804796529,,,,,38.88752365112305,-120.02693176269531,38.896728515625,-120.01823425292969,5.760836624179384,11.910104751586914,0.6935416460037231,0,,,,,36593,,
02:15:00.000-04:00,02:30:00.000-04:00,18.175926156725858,,,,,38.89025115966797,-120.02373504638672,38.89031219482422,-120.023681640625,,,,,,,,,600000,,
