Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-12-2017","2,038","4,023","2.99","13","1,271","73","15","6","438"
"02-12-2017","2,277","6,543","4.86","24","1,159","137","13","13","751"
"03-12-2017","2,228","6,167","4.58","28","1,233","78","10","28","655"
"04-12-2017","1,958","2,502","1.86","11","1,359","81","0","0","345"
"05-12-2017","1,956","3,226","2.4","24","1,296","43","13","9","323"
"06-12-2017","2,218","5,501","4.09","19","1,287","46","1","41","616"
"07-12-2017","1,927","2,840","2.11","8","1,223","70","0","0","307"
"08-12-2017","2,033","3,672","2.79","6","1,362","78","0","0","397"
"09-12-2017","2,200","2,811","2.09","5","1,308","132","0","0","609"
"10-12-2017","2,797","9,655","7.17","26","1,159","245","17","19","1,334"
"11-12-2017","1,905","2,647","1.97","12","1,388","52","0","0","250"
"12-12-2017","1,908","1,800","1.34","0","1,067","63","0","0","266"
"13-12-2017","2,486","7,103","5.28","22","1,211","148","0","0","723"
"14-12-2017","2,816","9,346","6.94","57","1,189","189","20","42","1,340"
"15-12-2017","2,297","6,622","4.92","55","1,214","125","11","23","748"
"16-12-2017","1,958","2,023","1.5","1","1,210","68","0","0","310"
"17-12-2017","2,167","5,569","4.14","31","1,334","67","15","24","545"
"18-12-2017","2,626","10,750","7.99","66","1,257","92","29","62","1,089"
"19-12-2017","3,044","7,691","5.71","46","1,121","261","15","43","1,654"
"20-12-2017","1,985","3,192","2.37","8","1,368","72","0","0","355"
"21-12-2017","2,026","4,073","3.03","34","1,300","46","5","24","403"
"22-12-2017","2,092","4,409","3.28","25","1,338","72","9","21","504"
"23-12-2017","1,950","2,777","2.06","0","1,366","74","0","0","332"
"24-12-2017","2,141","4,539","3.37","5","1,323","102","4","11","550"
"25-12-2017","2,717","7,315","5.44","20","1,160","267","13","0","1,238"
"26-12-2017","2,611","5,470","4.06","11","1,116","237","6","2","1,115"
"27-12-2017","1,777","643","0.48","0","1,256","25","0","0","100"
"28-12-2017","1,856","1,659","1.23","4","1,400","40","0","0","198"
"29-12-2017","3,003","14,911","11.08","144","1,036","67","31","115","1,542"
"30-12-2017","2,134","4,375","3.25","24","1,241","94","4","11","535"
"31-12-2017","2,857","8,031","5.97","33","1,149","247","31","13","1,433"
