Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-05-2017","2,229","5,308","3.94","3","1,207","110","10","8","609"
"02-05-2017","2,402","2,480","1.84","1","1,260","48","6","51","809"
"03-05-2017","1,937","2,015","1.5","2","1,385","55","0","0","262"
"04-05-2017","2,077","4,562","3.39","13","1,347","80","13","0","468"
"05-05-2017","2,133","4,597","3.42","9","1,349","91","0","0","481"
"06-05-2017","2,246","6,207","4.61","21","1,055","71","28","17","635"
"07-05-2017","2,045","3,279","2.44","0","959","95","0","0","417"
"08-05-2017","2,112","5,133","3.81","4","1,330","102","4","4","508"
"09-05-2017","2,863","5,993","4.45","5","1,242","99","15","84","1,342"
"10-05-2017","2,778","5,848","4.35","6","920","133","0","41","1,261"
"11-05-2017","2,242","5,809","4.32","6","1,174","131","0","0","663"
"12-05-2017","2,047","4,264","3.17","6","1,356","74","5","5","430"
"13-05-2017","2,171","4,715","3.5","11","1,150","113","0","0","525"
"14-05-2017","2,344","5,211","3.87","12","1,255","81","7","32","700"
"15-05-2017","2,280","6,028","4.48","13","1,309","123","3","5","703"
"16-05-2017","2,126","5,203","3.87","6","1,257","107","0","0","538"
"17-05-2017","2,013","3,815","2.83","2","1,107","71","0","0","374"
"18-05-2017","2,521","9,998","7.43","18","1,270","117","30","23","962"
"19-05-2017","2,260","6,263","4.65","3","1,391","39","3","7","285"
"20-05-2017","2,086","2,062","1.53","0","1,230","74","0","0","355"
"21-05-2017","2,625","8,438","6.27","27","1,103","89","22","50","1,015"
"22-05-2017","2,188","5,188","3.85","7","1,269","100","3","4","567"
"23-05-2017","2,237","6,003","4.46","9","1,259","91","11","8","636"
"24-05-2017","1,935","2,761","2.05","15","1,385","55","0","0","275"
"25-05-2017","2,166","5,392","4.01","28","1,340","64","7","29","542"
"26-05-2017","2,097","4,365","3.24","3","1,349","91","0","0","488"
"27-05-2017","2,268","6,632","4.93","9","1,039","81","11","27","658"
"28-05-2017","2,674","10,587","7.87","81","1,275","78","15","72","1,147"
"29-05-2017","2,303","7,684","5.71","19","1,253","72","25","29","731"
"30-05-2017","2,216","5,988","4.45","4","1,310","121","5","4","634"
"31-05-2017","2,384","6,440","4.78","19","1,108","148","0","0","776"
