Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-11-2019","2,336","8,146","6.05","10","1,265","119","46","10","835"
"02-11-2019","2,290","6,625","4.92","7","1,275","125","26","14","789"
"03-11-2019","2,070","5,166","3.84","7","1,338","78","18","6","495"
"04-11-2019","2,234","7,214","5.36","24","1,301","112","12","15","696"
"05-11-2019","2,429","7,000","5.2","12","1,256","121","30","33","924"
"06-11-2019","2,516","10,200","7.58","25","1,240","115","53","32","1,042"
"07-11-2019","2,115","5,850","4.35","7","1,330","78","25","7","549"
"08-11-2019","2,065","4,463","3.32","10","1,334","83","12","11","493"
"09-11-2019","2,116","5,554","4.13","13","1,332","81","25","2","541"
"10-11-2019","2,191","6,305","4.68","13","1,312","106","15","7","625"
"11-11-2019","2,139","5,752","4.27","6","1,320","86","21","13","564"
"12-11-2019","2,086","5,297","3.94","5","1,340","74","13","13","503"
"13-11-2019","1,994","2,846","2.11","12","1,294","86","0","0","363"
"14-11-2019","1,891","1,599","1.19","11","1,389","40","10","1","235"
"15-11-2019","2,000","3,326","2.47","7","1,349","81","8","2","402"
"16-11-2019","2,095","3,623","2.69","13","1,321","107","12","0","529"
"17-11-2019","2,330","7,486","5.56","6","1,258","160","15","7","831"
"18-11-2019","2,178","6,291","4.67","10","1,311","111","9","9","636"
"19-11-2019","2,062","3,331","2.47","13","1,331","98","10","1","486"
"20-11-2019","2,120","5,532","4.11","16","1,319","90","27","4","571"
"21-11-2019","1,956","3,186","2.37","9","1,362","69","8","1","356"
"22-11-2019","1,860","1,857","1.38","1","1,387","53","0","0","224"
"23-11-2019","2,193","4,306","3.2","6","1,311","117","9","3","582"
"24-11-2019","2,155","6,128","4.55","8","1,321","99","18","2","587"
"25-11-2019","2,246","5,869","4.36","13","1,290","142","5","3","714"
"26-11-2019","2,193","6,716","4.99","13","1,319","89","17","15","617"
"27-11-2019","1,908","2,202","1.64","12","1,374","66","0","0","285"
"28-11-2019","1,978","2,871","2.13","14","1,360","80","0","0","360"
"29-11-2019","2,231","6,394","4.75","12","1,316","90","15","19","633"
"30-11-2019","2,158","4,781","3.55","16","1,244","127","0","0","576"
