Date,Activity,Group,Duration,Distance,Steps,Calories
4/8/18,transport,transport,4037,14.231,0,0
4/8/18,walking,walking,3427,1.903,4812,181
4/9/18,transport,transport,4781,23.904,0,0
4/9/18,walking,walking,682,0.405,1093,39
4/10/18,transport,transport,552,2.400,0,0
4/10/18,cycling,cycling,603,1.258,0,55
4/11/18,transport,transport,3274,10.741,0,0
4/11/18,walking,walking,4212,2.198,6046,210
4/12/18,transport,transport,2045,5.014,0,0
4/12/18,walking,walking,824,0.493,1168,47
4/13/18,transport,transport,2927,10.785,0,0
4/13/18,walking,walking,181,0.116,280,11
4/14/18,transport,transport,8321,58.037,0,0
4/14/18,walking,walking,4632,2.401,6253,229
4/15/18,transport,transport,3506,22.688,0,0
4/15/18,walking,walking,38,0.014,45,1
4/16/18,transport,transport,4903,39.584,0,0
4/16/18,walking,walking,3118,1.990,4776,190
4/17/18,transport,transport,5063,28.249,0,0
4/17/18,walking,walking,7189,4.139,10452,395
4/18/18,transport,transport,2140,12.082,0,0
4/18/18,walking,walking,73,0.034,110,3
4/19/18,transport,transport,2510,15.987,0,0
4/19/18,walking,walking,2115,1.592,3709,152
4/20/18,transport,transport,4156,17.113,0,0
4/20/18,walking,walking,7473,3.881,10578,370
4/20/18,cycling,cycling,205,0.073,0,5
4/21/18,transport,transport,3128,16.795,0,0
4/21/18,walking,walking,1103,0.703,1653,67
4/22/18,transport,transport,3777,10.386,0,0
4/22/18,walking,walking,1123,0.457,1440,44
4/23/18,transport,transport,6249,30.724,0,0
4/23/18,walking,walking,6602,4.271,10066,407
4/24/18,transport,transport,5254,32.218,0,0
4/24/18,walking,walking,5355,2.945,7523,281
4/25/18,transport,transport,2532,17.802,0,0
4/25/18,walking,walking,925,0.437,1407,42
4/26/18,transport,transport,4386,15.002,0,0
4/26/18,walking,walking,199,0.136,267,13
4/27/18,transport,transport,1000,0.756,0,0
4/28/18,transport,transport,6234,41.488,0,0
4/28/18,walking,walking,87,0.040,130,4
4/29/18,transport,transport,2617,10.387,0,0
4/29/18,walking,walking,2994,2.269,5024,216
4/30/18,transport,transport,4894,10.200,0,0
4/30/18,walking,walking,1589,0.970,3121,93
5/1/18,transport,transport,1396,5.929,0,0
5/1/18,walking,walking,2499,1.625,3656,155
5/2/18,walking,walking,1518,1.077,2315,103
5/3/18,transport,transport,2733,21.810,0,0
5/3/18,walking,walking,220,0.151,298,14
5/4/18,transport,transport,5083,20.942,0,0
5/4/18,walking,walking,1077,0.739,1622,70
5/5/18,transport,transport,43445,5809.874,0,0
5/5/18,walking,walking,303,0.132,425,13
5/6/18,transport,transport,13327,1548.409,0,0
5/6/18,walking,walking,215,0.277,388,26
5/7/18,transport,transport,14089,261.580,0,0
5/8/18,walking,walking,4935,2.796,7117,267
5/8/18,transport,transport,4680,11.508,0,0
5/9/18,walking,walking,8710,5.593,14418,533
5/9/18,transport,transport,6320,42.163,0,0
5/10/18,cycling,cycling,242,0.290,0,14
5/10/18,transport,transport,4078,21.122,0,0
5/10/18,walking,walking,62,0.029,93,3
5/11/18,walking,walking,3440,2.146,5438,205
5/11/18,transport,transport,16347,282.227,0,0
5/13/18,walking,walking,1212,0.600,1857,57
5/14/18,walking,walking,1440,0.801,1913,76
5/14/18,transport,transport,4920,3.652,0,0
5/20/18,walking,walking,716,0.288,927,27
5/20/18,transport,transport,455,1.836,0,0
5/22/18,walking,walking,614,0.528,1079,50
5/22/18,transport,transport,10733,319.266,0,0
5/23/18,walking,walking,571,0.385,800,37
5/23/18,transport,transport,1169,2.550,0,0
5/27/18,walking,walking,1016,1.876,1559,179
5/27/18,transport,transport,1189,4.363,0,0
5/28/18,walking,walking,735,0.473,1032,45
5/28/18,transport,transport,7904,31.233,0,0
5/29/18,transport,transport,579,0.840,0,0
5/29/18,walking,walking,19,0.009,30,1
6/1/18,transport,transport,2650,7.668,0,0
6/1/18,walking,walking,1137,0.571,1430,54
6/1/18,cycling,cycling,160,0.055,0,4
6/4/18,walking,walking,148,0.078,250,7
6/4/18,transport,transport,298,2.097,0,0
6/5/18,transport,transport,3276,8.652,0,0
6/5/18,walking,walking,2607,1.442,3974,137
6/6/18,transport,transport,1180,2.126,0,0
6/7/18,transport,transport,3020,9.564,0,0
6/7/18,walking,walking,1172,0.821,1665,78
6/13/18,transport,transport,549,4.703,0,0
6/14/18,transport,transport,3287,20.140,0,0
6/14/18,walking,walking,6313,3.364,9137,321
6/15/18,walking,walking,2919,1.583,4237,151
6/15/18,transport,transport,3418,6.991,0,0
6/16/18,walking,walking,2233,1.668,3694,159
6/16/18,transport,transport,6425,35.915,0,0
6/17/18,transport,transport,5467,19.005,0,0
6/17/18,walking,walking,2914,1.653,4003,158
6/18/18,transport,transport,6216,23.687,0,0
6/18/18,walking,walking,9147,5.151,13470,491
6/19/18,transport,transport,1915,10.153,0,0
6/19/18,walking,walking,1264,0.879,1897,84
6/20/18,walking,walking,1553,0.959,2269,91
6/20/18,transport,transport,2520,9.107,0,0
6/21/18,transport,transport,5308,21.513,0,0
6/21/18,walking,walking,2801,1.463,4216,140
6/22/18,transport,transport,2448,9.315,0,0
6/22/18,walking,walking,1815,1.191,2911,114
6/23/18,walking,walking,8019,5.103,13029,487
6/23/18,transport,transport,4059,18.357,0,0
6/24/18,walking,walking,279,0.124,377,12
6/24/18,transport,transport,910,2.371,0,0
6/25/18,transport,transport,2714,12.075,0,0
6/25/18,walking,walking,1338,0.769,2072,73
6/26/18,transport,transport,3108,5.810,0,0
6/26/18,walking,walking,441,0.221,711,21
6/27/18,transport,transport,2292,9.902,0,0
6/27/18,walking,walking,1475,1.011,2067,96
6/28/18,transport,transport,3707,11.952,0,0
6/28/18,walking,walking,1602,0.904,2450,86
6/29/18,transport,transport,3290,12.585,0,0
6/29/18,walking,walking,2158,1.432,3522,137
6/30/18,transport,transport,5992,22.228,0,0
6/30/18,walking,walking,2141,1.297,3360,124
7/1/18,transport,transport,8826,60.557,0,0
7/1/18,walking,walking,2351,1.607,4254,153
7/2/18,transport,transport,3549,13.460,0,0
7/2/18,walking,walking,1452,0.802,1772,76
7/3/18,transport,transport,2754,14.329,0,0
7/3/18,walking,walking,1368,0.864,1938,82
7/4/18,transport,transport,3497,10.092,0,0
7/4/18,walking,walking,1840,1.257,2915,120
7/5/18,transport,transport,3714,11.677,0,0
7/5/18,walking,walking,1577,1.113,2485,106
7/6/18,transport,transport,1455,7.516,0,0
7/6/18,walking,walking,1445,0.753,1883,72
7/7/18,transport,transport,1935,11.678,0,0
7/7/18,walking,walking,493,0.328,783,31
7/8/18,transport,transport,3326,11.821,0,0
7/8/18,walking,walking,2305,1.267,3856,121
7/9/18,transport,transport,4498,14.330,0,0
7/9/18,walking,walking,317,0.163,507,16
7/10/18,transport,transport,2785,9.607,0,0
