Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
07/07/18,walking,walking,2018-07-07T00:02:33+02:00,2018-07-07T00:04:03+02:00,90,0.065,131,3
07/07/18,walking,walking,2018-07-07T00:49:32+02:00,2018-07-07T00:53:02+02:00,210,0.156,256,7
07/07/18,transport,transport,2018-07-07T00:53:02+02:00,2018-07-07T01:14:45+02:00,1303,15.044,0,0
07/07/18,walking,walking,2018-07-07T01:14:46+02:00,2018-07-07T01:16:13+02:00,87,0.065,130,3
07/07/18,walking,walking,2018-07-07T12:06:43+02:00,2018-07-07T12:07:12+02:00,29,0.020,40,1
07/07/18,cycling,cycling,2018-07-07T12:07:23+02:00,2018-07-07T12:11:52+02:00,269,0.283,0,7
07/07/18,walking,walking,2018-07-07T13:13:58+02:00,2018-07-07T13:18:52+02:00,294,0.305,497,14
