Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-10-2016","2,553","9,365","6.96","36","1,253","138","19","30","1,033"
"02-10-2016","3,201","16,724","12.43","43","1,167","130","39","104","1,793"
"03-10-2016","2,291","7,291","5.42","19","1,285","138","10","7","742"
"04-10-2016","2,369","4,603","3.42","28","1,281","96","41","22","829"
"05-10-2016","2,254","6,107","4.54","5","1,151","152","0","0","687"
"06-10-2016","2,314","7,507","5.58","6","1,237","83","18","30","718"
"07-10-2016","2,217","4,996","3.71","4","1,013","112","11","2","596"
"08-10-2016","3,008","9,561","7.1","35","1,142","237","30","31","1,569"
"09-10-2016","2,675","8,716","6.48","46","1,230","185","9","16","1,145"
"10-10-2016","2,450","7,379","5.48","26","1,250","166","11","13","946"
"11-10-2016","2,347","7,087","5.27","35","1,267","159","6","8","818"
"12-10-2016","2,395","7,789","5.79","28","1,292","129","9","10","810"
"13-10-2016","2,118","3,199","2.38","2","1,348","77","7","8","497"
"14-10-2016","2,038","3,723","2.77","0","1,273","95","0","0","415"
"15-10-2016","2,037","3,767","2.8","5","1,229","69","2","6","416"
"16-10-2016","1,867","1,325","0.98","0","1,400","40","0","0","197"
"17-10-2016","2,876","12,523","9.3","42","1,077","252","27","14","1,448"
"18-10-2016","2,924","12,920","9.6","14","1,161","259","14","6","1,485"
"19-10-2016","3,417","11,307","8.4","29","1,045","294","42","59","2,091"
"20-10-2016","2,517","8,451","6.28","4","1,216","224","0","0","1,022"
"21-10-2016","3,469","13,801","10.25","40","1,051","302","49","38","2,119"
"22-10-2016","2,553","9,496","7.06","4","1,215","220","3","2","1,061"
"23-10-2016","2,698","10,544","7.83","18","1,186","232","17","5","1,236"
"24-10-2016","2,536","10,203","7.58","92","1,252","138","35","15","978"
"25-10-2016","2,212","5,560","4.13","42","1,126","103","24","6","620"
"26-10-2016","2,306","5,547","4.12","27","1,217","131","24","1","726"
"27-10-2016","1,981","2,546","1.89","6","1,358","82","0","0","343"
"28-10-2016","1,921","2,322","1.73","5","1,150","57","0","0","268"
"29-10-2016","2,637","9,516","7.07","31","951","268","15","3","1,220"
"30-10-2016","2,496","8,952","6.65","44","1,246","125","48","21","1,000"
"31-10-2016","2,763","10,341","7.68","57","1,181","195","47","17","1,312"

