Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-01-2019","2,073","3,776","2.81","3","1,093","63","0","17","416"
"02-01-2019","2,478","5,879","4.37","34","1,157","154","13","22","951"
"03-01-2019","2,323","5,900","4.38","39","1,277","147","12","4","784"
"04-01-2019","2,139","3,675","2.73","19","1,309","131","0","0","577"
"05-01-2019","1,976","2,615","1.94","0","1,206","80","0","0","351"
"06-01-2019","2,035","3,932","2.92","12","1,263","66","12","10","415"
"07-01-2019","2,705","11,611","8.63","60","1,241","109","20","70","1,221"
"08-01-2019","1,976","3,025","2.25","7","1,279","54","4","9","341"
"09-01-2019","2,318","6,011","4.47","27","1,074","123","16","9","750"
"10-01-2019","2,607","7,586","5.64","40","1,210","188","32","10","1,141"
"11-01-2019","2,484","8,019","5.96","14","1,306","62","17","55","914"
"12-01-2019","1,994","3,036","2.26","0","1,157","72","3","6","387"
"13-01-2019","2,760","13,771","10.23","84","1,241","81","30","88","1,291"
"14-01-2019","2,044","3,510","2.61","0","1,046","102","0","0","430"
"15-01-2019","2,173","5,573","4.14","20","1,035","82","23","13","592"
"16-01-2019","2,291","2,997","2.23","0","1,318","72","6","44","684"
"17-01-2019","2,429","9,830","7.3","26","1,299","64","22","55","884"
"18-01-2019","2,296","7,850","5.83","30","1,318","68","12","42","735"
"19-01-2019","2,146","3,956","2.94","0","1,259","60","5","20","518"
"20-01-2019","2,036","4,270","3.17","26","1,358","52","17","13","431"
"21-01-2019","2,010","3,686","2.74","3","1,372","42","5","21","386"
"22-01-2019","2,266","5,444","4.04","0","1,331","61","16","32","687"
"23-01-2019","2,029","2,735","2.03","3","1,339","95","4","2","424"
"24-01-2019","3,207","18,640","13.85","52","1,176","97","44","123","1,792"
"25-01-2019","1,985","3,104","2.31","0","1,388","26","4","22","353"
"26-01-2019","2,112","4,380","3.25","6","1,283","64","7","21","509"
"27-01-2019","2,295","6,319","4.7","40","1,309","96","20","15","727"
"28-01-2019","2,383","6,749","5.01","24","1,200","130","19","22","823"
"29-01-2019","2,015","4,269","3.17","0","1,377","24","9","30","395"
"30-01-2019","2,443","8,331","6.19","38","1,305","64","9","62","872"
"31-01-2019","2,498","9,303","6.91","25","1,222","64","17","62","960"
