Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-02-2019","2,288","5,955","4.42","37","1,308","89","31","12","722"
"02-02-2019","2,262","6,459","4.8","24","1,320","76","13","31","662"
"03-02-2019","2,485","7,929","5.89","17","1,264","136","32","8","951"
"04-02-2019","2,706","9,599","7.13","13","1,115","200","24","30","1,211"
"05-02-2019","2,542","7,369","5.48","21","1,170","145","9","37","1,020"
"06-02-2019","2,282","4,802","3.57","8","1,002","104","22","17","689"
"07-02-2019","2,596","9,364","6.96","28","1,232","150","28","30","1,103"
"08-02-2019","2,323","6,057","4.5","13","1,094","183","0","0","820"
"09-02-2019","2,429","8,176","6.07","7","1,255","164","7","14","908"
"10-02-2019","2,754","11,116","8.26","43","1,237","112","18","73","1,236"
"11-02-2019","2,730","8,818","6.55","10","1,126","314","0","0","1,305"
"12-02-2019","2,773","8,639","6.42","7","1,158","227","50","5","1,341"
"13-02-2019","3,277","5,113","3.8","1","1,169","204","6","61","1,842"
"14-02-2019","2,539","8,849","6.57","7","1,247","148","21","24","1,038"
"15-02-2019","2,251","4,494","3.34","6","1,189","161","0","0","696"
"16-02-2019","2,035","2,322","1.73","2","1,337","93","8","2","427"
"17-02-2019","2,276","4,770","3.54","10","1,276","133","30","1","716"
"18-02-2019","1,685","0","0","0","1,440","0","0","0","0"
"19-02-2019","1,685","0","0","0","1,440","0","0","0","0"
"20-02-2019","1,798","675","0.5","3","1,399","41","0","0","143"
"21-02-2019","2,381","6,256","4.65","82","1,266","124","11","39","873"
"22-02-2019","2,215","3,541","2.63","16","1,180","162","6","0","681"
"23-02-2019","2,620","7,557","5.61","97","1,044","148","20","52","1,145"
"24-02-2019","2,333","5,273","3.92","31","1,067","207","0","0","851"
"25-02-2019","2,190","4,377","3.25","17","1,197","150","0","0","647"
"26-02-2019","2,106","3,923","2.91","5","1,122","137","0","0","564"
"27-02-2019","2,307","5,920","4.4","13","1,185","179","0","0","793"
"28-02-2019","2,034","4,202","3.12","12","1,359","72","3","6","432"
