Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-06-2019","2,109","5,063","3.76","7","1,331","83","23","3","541"
"02-06-2019","2,276","6,149","4.57","13","1,284","129","17","10","751"
"03-06-2019","2,435","6,739","5.01","9","1,235","170","25","10","958"
"04-06-2019","2,353","7,560","5.62","22","1,273","135","21","11","840"
"05-06-2019","2,179","5,134","3.81","9","1,321","89","23","7","616"
"06-06-2019","2,084","4,391","3.26","6","1,332","90","12","6","508"
"07-06-2019","2,484","6,430","4.78","16","1,226","199","9","6","996"
"08-06-2019","2,282","5,096","3.79","15","1,274","156","7","3","773"
"09-06-2019","2,207","5,475","4.07","10","1,301","121","16","2","664"
"10-06-2019","2,153","4,629","3.44","16","1,316","91","32","1","587"
"11-06-2019","2,136","3,211","2.39","17","1,344","64","26","6","519"
"12-06-2019","2,593","7,203","5.35","11","1,019","148","25","18","1,046"
"13-06-2019","2,461","6,714","4.99","14","1,196","92","13","38","927"
"14-06-2019","2,863","10,178","7.56","11","1,215","155","15","55","1,421"
"15-06-2019","2,768","10,568","7.85","7","1,162","148","11","54","1,309"
"16-06-2019","2,252","4,507","3.35","1","1,293","138","7","2","716"
"17-06-2019","2,956","12,923","9.6","27","1,124","148","52","57","1,518"
"18-06-2019","2,449","8,904","6.62","32","1,081","112","15","37","941"
"19-06-2019","1,704","187","0.14","0","1,433","7","0","0","26"
"20-06-2019","2,077","3,601","2.68","2","1,337","103","0","0","489"
"21-06-2019","2,938","11,153","8.29","23","1,136","169","14","52","1,484"
"22-06-2019","2,333","4,798","3.56","13","1,076","143","12","0","776"
"23-06-2019","2,523","7,987","5.93","4","1,078","161","7","17","939"
"24-06-2019","2,747","10,861","8.07","50","1,194","181","28","37","1,295"
"25-06-2019","2,520","7,721","5.74","29","1,261","135","10","34","981"
"26-06-2019","2,196","5,652","4.2","13","1,311","129","0","0","632"
"27-06-2019","2,256","5,206","3.87","11","1,304","95","31","10","686"
"28-06-2019","2,005","1,697","1.26","8","1,358","72","9","1","388"
"29-06-2019","2,161","5,370","3.99","20","1,316","97","25","2","598"
"30-06-2019","1,910","1,794","1.33","14","1,303","67","0","0","290"

