Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-08-2018","2,454","8,128","6.04","10","1,253","164","7","16","940"
"02-08-2018","2,327","6,919","5.14","7","1,288","141","2","9","752"
"03-08-2018","2,394","7,459","5.54","1","1,271","156","1","12","860"
"04-08-2018","3,579","17,597","13.07","115","1,116","109","60","155","2,243"
"05-08-2018","2,478","8,282","6.15","13","1,269","125","22","24","917"
"06-08-2018","2,391","7,590","5.64","4","1,309","95","8","28","800"
"07-08-2018","2,558","8,080","6","9","1,255","160","7","18","997"
"08-08-2018","2,281","6,266","4.66","6","1,298","132","3","7","695"
"09-08-2018","2,479","7,834","5.82","6","1,265","153","6","16","940"
"10-08-2018","2,293","5,614","4.17","10","1,265","175","0","0","748"
"11-08-2018","2,639","8,467","6.29","9","1,234","145","23","38","1,113"
"12-08-2018","2,526","8,255","6.13","8","1,232","182","13","13","997"
"13-08-2018","2,527","7,639","5.68","12","1,217","201","16","6","1,014"
"14-08-2018","2,463","7,697","5.72","8","1,251","152","23","14","943"
"15-08-2018","2,125","4,451","3.31","2","1,340","100","0","0","520"
"16-08-2018","2,406","6,504","4.83","7","1,282","145","4","9","851"
"17-08-2018","2,256","5,495","4.08","2","1,300","140","0","0","678"
"18-08-2018","2,359","4,307","3.2","4","1,201","141","1","10","751"
"19-08-2018","3,343","7,176","5.33","30","1,118","153","69","100","1,934"
"20-08-2018","2,590","9,237","6.86","6","1,260","146","10","24","1,043"
"21-08-2018","2,676","9,369","6.96","8","1,190","250","0","0","1,201"
"22-08-2018","2,596","7,805","5.8","9","1,251","179","1","9","1,051"
"23-08-2018","3,459","16,578","12.32","74","1,098","235","36","71","2,024"
"24-08-2018","2,943","12,583","9.35","11","1,204","157","21","58","1,434"
"25-08-2018","2,545","8,603","6.39","8","1,200","240","0","0","1,093"
"26-08-2018","2,250","5,058","3.76","12","1,307","113","7","13","673"
"27-08-2018","2,768","13,238","9.84","86","1,228","123","22","67","1,281"
"28-08-2018","2,218","7,440","5.53","25","1,092","76","28","19","664"
"29-08-2018","2,202","5,089","3.78","4","1,305","104","18","13","643"
"30-08-2018","2,219","6,468","4.81","14","1,199","101","9","17","647"
"31-08-2018","2,157","4,586","3.41","2","1,326","114","0","0","556"
