Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-03-2017","2,526","6,511","4.84","12","1,260","168","6","6","926"
"02-03-2017","2,195","5,996","4.46","20","1,156","103","5","8","584"
"03-03-2017","2,241","6,679","4.96","16","1,112","101","4","6","609"
"04-03-2017","2,367","7,146","5.31","39","1,264","156","16","4","835"
"05-03-2017","2,567","11,872","8.82","24","1,287","48","30","75","1,031"
"06-03-2017","2,300","6,873","5.11","11","1,302","127","4","7","711"
"07-03-2017","2,097","5,396","4.01","15","1,335","105","0","0","508"
"08-03-2017","2,222","6,417","4.77","51","1,265","102","13","0","633"
"09-03-2017","1,995","3,436","2.55","14","1,375","65","0","0","343"
"10-03-2017","2,113","4,915","3.65","7","1,176","104","0","0","494"
"11-03-2017","2,310","6,247","4.64","12","1,254","88","13","20","666"
"12-03-2017","2,577","8,553","6.35","16","1,241","166","8","25","1,054"
"13-03-2017","2,242","5,961","4.43","6","1,233","119","4","5","633"
"14-03-2017","2,195","6,284","4.67","3","1,308","132","0","0","618"
"15-03-2017","2,379","8,573","6.37","46","1,233","112","16","16","811"
"16-03-2017","2,200","5,292","3.93","15","1,321","119","0","0","621"
"17-03-2017","2,177","5,636","4.19","16","1,319","114","4","3","569"
"18-03-2017","2,670","10,054","7.47","68","916","87","26","58","1,108"
"19-03-2017","2,186","5,323","3.96","3","1,326","94","8","12","553"
"20-03-2017","2,163","5,444","4.04","9","1,221","111","0","0","552"
"21-03-2017","2,032","3,931","2.92","8","1,266","92","0","0","419"
"22-03-2017","2,342","8,421","6.26","51","1,305","102","14","19","782"
"23-03-2017","2,276","6,241","4.64","13","1,244","111","8","10","700"
"24-03-2017","2,227","6,051","4.5","9","1,189","90","3","14","625"
"25-03-2017","2,754","11,907","8.85","45","1,280","55","20","85","1,207"
"26-03-2017","2,858","10,236","7.61","29","1,078","188","48","29","1,385"
"27-03-2017","2,119","5,278","3.92","14","1,191","113","0","0","529"
"28-03-2017","2,254","6,138","4.56","11","1,230","141","0","0","684"
"29-03-2017","2,403","8,371","6.22","5","1,186","170","2","20","901"
"30-03-2017","2,263","7,483","5.56","31","1,303","115","12","10","705"
"31-03-2017","1,962","3,217","2.39","9","1,375","65","0","0","326"
