Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-11-2016","2,400","7,696","5.72","42","1,244","196","0","0","887"
"02-11-2016","1,961","2,567","1.91","0","1,201","87","0","0","345"
"03-11-2016","2,482","7,563","5.62","82","1,227","195","14","4","990"
"04-11-2016","2,386","7,407","5.5","36","1,127","138","22","13","849"
"05-11-2016","2,058","3,273","2.43","0","1,340","100","0","0","443"
"06-11-2016","2,696","7,433","5.52","31","1,203","217","13","7","1,111"
"07-11-2016","2,020","2,611","1.94","0","1,344","96","0","0","414"
"08-11-2016","2,334","5,605","4.16","56","1,275","134","21","10","762"
"09-11-2016","2,037","3,291","2.45","7","1,282","65","21","3","404"
"10-11-2016","2,306","4,853","3.61","27","1,266","145","23","6","753"
"11-11-2016","2,466","6,446","4.79","65","1,245","157","29","9","942"
"12-11-2016","2,314","6,806","5.06","36","1,286","142","9","3","734"
"13-11-2016","2,146","4,585","3.41","51","1,252","89","20","9","562"
"14-11-2016","2,215","4,578","3.4","34","1,315","92","15","18","628"
"15-11-2016","2,153","5,080","3.77","10","1,145","106","12","9","595"
"16-11-2016","2,204","5,113","3.8","24","1,296","114","26","4","662"
"17-11-2016","2,144","4,154","3.09","0","1,293","147","0","0","579"
"18-11-2016","2,504","8,973","6.67","19","1,169","126","31","30","983"
"19-11-2016","2,627","10,057","7.47","50","1,071","198","26","19","1,147"
"20-11-2016","2,413","8,202","6.09","38","1,228","203","9","0","941"
"21-11-2016","2,266","6,319","4.7","23","1,305","93","28","14","695"
"22-11-2016","2,490","8,318","6.18","20","1,232","176","16","16","982"
"23-11-2016","2,074","4,062","3.02","39","1,348","63","21","8","460"
"24-11-2016","2,307","6,272","4.66","70","1,301","76","40","23","754"
"25-11-2016","1,930","2,471","1.84","1","1,274","51","6","7","298"
"26-11-2016","2,756","10,997","8.17","148","1,181","169","62","28","1,327"
"27-11-2016","2,070","3,319","2.47","4","1,320","120","0","0","493"
"28-11-2016","2,093","5,140","3.82","17","1,347","57","19","17","497"
"29-11-2016","2,242","6,278","4.66","81","1,288","152","0","0","700"
"30-11-2016","2,387","6,712","4.99","40","1,251","169","19","1","870"
